arm,mbar,dt,seed,epoch,tag_pop,pop_trig,n_tagged,removed,gamma
chronic,16,0,141,50,7,9,2,2,10.0
chronic,16,0,141,51,7,9,2,2,10.0
chronic,16,0,141,52,9,11,2,2,10.0
chronic,16,0,141,53,13,15,2,2,10.0
chronic,16,0,141,54,15,19,4,4,10.0
chronic,16,0,141,55,21,23,4,4,10.0
chronic,16,0,141,56,21,25,4,4,10.0
chronic,16,0,141,57,29,29,4,4,10.0
chronic,16,0,141,58,37,45,8,8,10.0
chronic,16,0,141,59,41,49,8,8,10.0
chronic,16,0,141,60,39,47,8,8,10.0
chronic,16,0,141,61,47,51,8,8,10.0
chronic,16,0,141,62,47,53,8,8,10.0
chronic,16,0,141,63,47,57,10,10,10.0
chronic,16,0,141,64,47,53,8,8,10.0
chronic,16,0,141,65,51,61,10,10,10.0
chronic,16,0,141,66,55,65,10,10,10.0
chronic,16,0,141,67,55,67,12,12,10.0
chronic,16,0,141,68,57,69,12,12,10.0
chronic,16,0,141,69,55,63,10,10,10.0
chronic,16,0,141,70,55,61,10,10,10.0
chronic,16,0,141,71,51,59,10,10,10.0
chronic,16,0,141,72,51,61,10,10,10.0
chronic,16,0,141,73,53,63,10,10,10.0
chronic,16,0,141,74,49,59,10,10,10.0
chronic,16,0,141,75,45,51,8,8,10.0
chronic,16,0,141,76,51,57,10,10,10.0
chronic,16,0,141,77,47,55,10,10,10.0
chronic,16,0,141,78,47,57,10,10,10.0
chronic,16,0,141,79,41,49,8,8,10.0
chronic,16,0,141,80,37,45,8,8,10.0
chronic,16,0,141,81,37,45,8,8,10.0
chronic,16,0,141,82,37,45,8,8,10.0
chronic,16,0,141,83,43,49,8,8,10.0
chronic,16,0,141,84,43,51,8,8,10.0
chronic,16,0,141,85,45,51,8,8,10.0
chronic,16,0,141,86,47,53,8,8,10.0
chronic,16,0,141,87,47,57,10,10,10.0
chronic,16,0,141,88,51,57,10,10,10.0
chronic,16,0,141,89,49,57,10,10,10.0
chronic,16,0,141,90,53,63,10,10,10.0
chronic,16,0,141,91,55,67,12,12,10.0
chronic,16,0,141,92,59,69,12,12,10.0
chronic,16,0,141,93,57,65,10,10,10.0
chronic,16,0,141,94,55,63,10,10,10.0
chronic,16,0,141,95,55,65,10,10,10.0
chronic,16,0,141,96,53,63,10,10,10.0
chronic,16,0,141,97,57,69,12,12,10.0
chronic,16,0,141,98,55,67,12,12,10.0
chronic,16,0,141,99,55,63,10,10,10.0
chronic,16,0,141,100,57,69,12,12,10.0
chronic,16,0,142,51,23,27,4,4,16.0
chronic,16,0,142,52,45,53,8,8,17.0
chronic,16,0,142,55,115,123,20,20,17.0
chronic,16,0,142,56,103,123,20,20,18.0
chronic,16,0,142,58,111,125,20,20,17.0
chronic,16,0,142,60,113,131,22,22,18.0
