grid,m,dt,seed,epoch,gamma,sV
knee,20,5,121,50,9.0,9.0
knee,20,5,121,51,9.0,9.0
knee,20,5,121,52,9.0,9.0
knee,20,5,121,53,9.0,9.0
knee,20,5,121,54,9.0,9.0
knee,20,5,121,55,9.0,6.0
knee,20,5,121,56,9.0,1.0
knee,20,5,121,57,9.0,0.0
knee,20,5,121,58,9.0,4.0
knee,20,5,121,59,9.0,3.0
knee,20,5,121,60,9.0,3.0
knee,20,5,121,61,9.0,3.0
knee,20,5,121,62,9.0,2.0
knee,20,5,121,63,9.0,2.0
knee,20,5,121,64,9.0,4.0
knee,20,5,121,65,9.0,2.0
knee,20,5,121,66,9.0,3.0
knee,20,5,121,67,9.0,4.0
knee,20,5,121,68,9.0,4.0
knee,20,5,121,69,9.0,3.0
knee,20,5,121,70,9.0,1.0
knee,20,5,121,71,9.0,0.0
knee,20,5,121,72,9.0,1.0
knee,20,5,121,73,9.0,2.0
knee,20,5,121,74,9.0,1.0
knee,20,5,121,75,9.0,1.0
knee,20,5,121,76,9.0,0.0
knee,20,5,121,77,9.0,0.0
knee,20,5,121,78,9.0,0.0
knee,20,5,121,79,9.0,0.0
knee,20,5,121,80,9.0,1.0
knee,20,5,121,81,9.0,7.0
knee,20,5,121,82,9.0,3.0
knee,20,5,121,83,9.0,4.0
knee,20,5,121,84,9.0,4.0
knee,20,5,121,85,9.0,1.0
knee,20,5,121,86,9.0,2.0
knee,20,5,121,87,9.0,7.0
knee,20,5,121,88,9.0,5.0
knee,20,5,121,89,9.0,4.0
knee,20,5,121,90,9.0,1.0
knee,20,5,121,91,9.0,5.0
knee,20,5,121,92,9.0,2.0
knee,20,5,121,93,9.0,7.0
knee,20,5,121,94,9.0,5.0
knee,20,5,121,95,9.0,7.0
knee,20,5,121,96,9.0,5.0
knee,20,5,121,97,9.0,6.0
knee,20,5,121,98,9.0,4.0
knee,20,5,121,99,9.0,6.0
knee,20,5,121,100,9.0,4.0
knee,20,5,122,50,7.0,1.0
knee,20,5,122,51,7.0,0.0
knee,20,5,122,52,7.0,7.0
knee,20,5,122,53,7.0,7.0
knee,20,5,122,54,7.0,7.0
knee,20,5,122,55,7.0,0.0
knee,20,5,122,56,7.0,3.0
knee,20,5,122,57,7.0,2.0
knee,20,5,122,58,7.0,4.0
knee,20,5,122,59,7.0,2.0
knee,20,5,122,60,7.0,1.0
knee,20,5,122,61,7.0,2.0
knee,20,5,122,62,7.0,4.0
knee,20,5,122,63,7.0,1.0
knee,20,5,122,64,7.0,3.0
knee,20,5,122,65,7.0,3.0
knee,20,5,122,66,7.0,3.0
knee,20,5,122,67,7.0,1.0
knee,20,5,122,68,7.0,1.0
knee,20,5,122,69,7.0,3.0
knee,20,5,122,70,7.0,1.0
knee,20,5,122,71,7.0,2.0
knee,20,5,122,72,7.0,0.0
knee,20,5,122,73,7.0,0.0
knee,20,5,122,74,7.0,2.0
knee,20,5,122,75,7.0,1.0
knee,20,5,122,76,7.0,0.0
knee,20,5,122,77,7.0,0.0
knee,20,5,122,78,7.0,2.0
knee,20,5,122,79,7.0,2.0
knee,20,5,122,80,7.0,0.0
knee,20,5,122,81,7.0,2.0
knee,20,5,122,82,7.0,0.0
knee,20,5,122,83,7.0,2.0
knee,20,5,122,84,7.0,2.0
knee,20,5,122,85,7.0,3.0
knee,20,5,122,86,7.0,2.0
knee,20,5,122,87,7.0,3.0
knee,20,5,122,88,7.0,3.0
knee,20,5,122,89,7.0,3.0
knee,20,5,122,90,7.0,1.0
knee,20,5,122,91,7.0,1.0
knee,20,5,122,92,7.0,3.0
