mbar,dt,seed,slope,k,gamma,sV
16,1,101,0.033,34,10.0,4.23
16,1,102,0.102,32,10.5,2.17
16,1,103,1.072,0,58.17,24.0
16,1,104,-0.095,5,31.6,15.6
16,1,105,-0.06,19,18.7,8.0
16,1,106,-0.04,36,10.97,5.27
16,1,107,3.651,46,5.0,1.07
16,1,108,0.264,30,30.1,25.73
16,1,109,-0.044,26,11.63,3.67
16,1,110,4.622,45,6.0,2.47
16,1,111,-0.028,12,18.7,8.73
16,1,112,0.172,7,31.8,11.37
16,1,113,5.188,46,5.0,1.6
16,1,114,0.495,0,48.4,15.33
16,1,115,6.694,46,4.0,1.27
16,1,116,0.042,11,22.6,10.77
16,1,117,0.83,46,6.0,1.33
16,1,118,-0.616,46,8.0,3.23
16,1,119,-0.049,31,10.53,4.2
16,1,120,-0.016,25,13.1,4.5
16,2,101,0.011,27,10.0,4.6
16,2,102,-0.285,30,9.47,2.43
16,2,103,0.032,0,73.03,31.37
16,2,104,0.06,11,27.1,12.63
16,2,105,-0.483,31,16.43,7.5
16,2,106,-0.139,29,13.1,5.37
16,2,107,3.49,46,5.0,1.4
16,2,108,-0.308,44,29.83,24.9
16,2,109,0.221,24,10.37,3.6
16,2,110,1.972,46,7.0,3.0
16,2,111,0.184,15,17.47,7.37
16,2,112,-0.063,10,23.07,9.37
16,2,113,5.961,46,5.0,1.97
16,2,114,-0.384,1,44.87,16.83
16,2,115,6.004,46,4.0,1.0
16,2,116,0.145,10,23.4,11.17
16,2,117,-0.355,46,6.0,1.37
16,2,118,-0.37,41,8.0,2.5
16,2,119,0.112,21,16.97,4.87
16,2,120,-0.114,27,12.17,5.97
16,4,101,-0.343,31,10.0,5.23
16,4,102,-0.442,29,8.07,2.4
16,4,103,-0.859,2,58.43,24.83
16,4,104,-0.073,14,22.03,6.83
16,4,105,-1.166,34,13.67,6.57
16,4,106,-2.791,39,10.7,3.53
16,4,107,3.95,46,5.0,1.57
16,4,108,-0.362,32,27.8,23.37
16,4,109,-0.305,28,10.37,3.67
16,4,110,4.084,46,6.0,2.37
16,4,111,0.0,14,25.27,10.4
16,4,112,-0.045,14,25.67,9.13
16,4,113,5.553,46,5.0,2.0
16,4,114,-0.214,5,52.43,21.93
16,4,115,4.682,46,4.0,0.73
16,4,116,-0.019,15,23.1,6.97
16,4,117,-0.089,46,6.0,1.63
16,4,118,-0.658,39,8.47,4.1
16,4,119,-0.325,19,13.53,4.67
16,4,120,-0.57,23,13.23,4.1
16,8,101,-1.906,26,10.0,4.27
16,8,102,-2.657,31,8.37,2.17
16,8,103,0.0,7,48.93,19.53
16,8,104,-0.732,10,28.23,12.27
16,8,105,-1.227,22,14.23,6.37
16,8,106,-2.906,40,8.0,4.43
16,8,107,-0.386,46,5.0,1.6
16,8,108,-1.439,17,26.8,24.13
16,8,109,-1.227,19,12.97,3.8
16,8,110,-1.166,46,6.0,2.3
16,8,111,-0.731,14,20.9,7.9
16,8,112,-0.669,13,28.73,7.77
16,8,113,-0.359,46,5.0,1.7
16,8,114,0.0,8,48.83,16.07
16,8,115,1.416,46,4.0,0.97
16,8,116,-0.65,16,15.77,5.13
16,8,117,-3.345,44,6.0,1.8
16,8,118,-2.24,33,8.9,3.43
16,8,119,-0.809,17,17.63,4.43
16,8,120,-1.223,20,13.73,4.9
20,1,101,0.135,44,10.27,4.03
20,1,102,-0.67,45,7.9,1.63
20,1,103,-0.851,0,61.2,15.3
20,1,104,0.077,11,25.6,12.77
20,1,105,0.125,41,12.33,7.23
20,1,106,2.491,46,7.97,2.57
20,1,107,6.887,46,5.0,1.07
