seed,A,t_clear,k,gamma_pre,sV_pre,gamma_late
121,40,22,3,9.0,9.0,9.33
121,80,13,8,9.0,9.0,9.0
121,120,20,10,9.0,9.0,9.0
121,160,27,12,9.0,9.0,15.5
121,240,25,16,9.0,9.0,10.33
122,40,15,4,7.0,4.4,7.0
122,80,15,8,7.0,4.4,7.0
122,120,11,11,7.0,4.4,7.0
122,160,13,13,7.0,4.4,7.0
122,240,21,17,7.0,4.4,7.0
123,40,3,2,10.0,2.2,11.33
123,80,5,4,10.0,2.2,12.47
123,120,7,6,10.0,2.2,10.77
123,160,11,7,10.0,2.2,10.53
123,240,10,10,10.0,2.2,11.0
124,40,4,3,9.0,3.8,7.0
124,80,7,5,9.0,3.8,9.73
124,120,9,7,9.0,3.8,9.47
124,160,9,9,9.0,3.8,9.0
124,240,13,13,9.0,3.8,8.93
125,40,39,13,3.0,1.4,3.0
125,80,45,26,3.0,1.4,3.0
125,120,-1,28,3.0,1.4,3.0
125,160,-1,31,3.0,1.4,3.0
125,240,-1,46,3.0,1.4,3.0
126,40,34,14,3.0,1.8,3.0
126,80,-1,21,3.0,1.8,3.0
126,120,-1,37,3.0,1.8,3.0
126,160,37,33,3.0,1.8,3.0
126,240,-1,44,3.0,1.8,3.0
127,40,4,2,13.0,9.0,14.73
127,80,9,5,13.0,9.0,15.77
127,120,11,7,13.0,9.0,15.4
127,160,8,7,13.0,9.0,14.7
127,240,21,11,13.0,9.0,14.63
128,40,7,2,21.4,1.8,27.37
128,80,10,3,21.4,1.8,26.83
128,120,8,6,21.4,1.8,37.83
128,160,11,7,21.4,1.8,26.03
128,240,9,9,21.4,1.8,23.5
129,40,20,6,6.0,2.8,6.0
129,80,10,10,6.0,2.8,6.0
129,120,21,13,6.0,2.8,6.0
129,160,25,19,6.0,2.8,6.0
129,240,34,22,6.0,2.8,6.0
130,40,-1,12,5.0,1.6,5.0
130,80,-1,19,5.0,1.6,5.0
130,120,-1,27,5.0,1.6,5.0
130,160,36,24,5.0,1.6,5.0
130,240,-1,32,5.0,1.6,5.0
131,40,22,9,5.0,3.0,5.0
131,80,20,11,5.0,3.0,5.0
131,120,23,18,5.0,3.0,5.0
131,160,34,23,5.0,3.0,5.0
131,240,39,29,5.0,3.0,5.0
132,40,4,3,10.0,6.4,16.3
132,80,11,5,10.0,6.4,13.7
132,120,12,7,10.0,6.4,9.73
132,160,9,9,10.0,6.4,10.7
132,240,11,11,10.0,6.4,12.4
133,40,23,12,5.0,3.2,5.0
133,80,42,14,5.0,3.2,5.0
133,120,-1,23,5.0,3.2,5.0
133,160,-1,25,5.0,3.2,5.0
133,240,-1,32,5.0,3.2,5.0
134,40,6,4,6.0,1.4,6.77
134,80,9,8,6.0,1.4,7.47
134,120,13,11,6.0,1.4,6.0
134,160,14,14,6.0,1.4,6.0
134,240,18,18,6.0,1.4,6.0
135,40,5,2,16.4,6.2,29.9
135,80,6,3,16.4,6.2,23.27
135,120,7,4,16.4,6.2,24.43
135,160,9,5,16.4,6.2,27.9
135,240,10,7,16.4,6.2,32.43
136,40,4,2,21.0,4.4,15.43
136,80,6,3,21.0,4.4,24.77
136,120,7,4,21.0,4.4,32.1
136,160,7,6,21.0,4.4,27.77
136,240,9,7,21.0,4.4,18.5
137,40,4,1,19.4,8.0,27.97
137,80,5,3,19.4,8.0,22.97
137,120,7,4,19.4,8.0,19.9
137,160,7,5,19.4,8.0,20.57
137,240,8,7,19.4,8.0,22.87
138,40,8,4,9.0,1.8,17.1
138,80,8,6,9.0,1.8,15.37
138,120,15,8,9.0,1.8,17.4
138,160,14,9,9.0,1.8,21.1
138,240,17,12,9.0,1.8,19.53
139,40,4,2,13.0,2.6,18.43
139,80,6,4,13.0,2.6,12.97
139,120,7,5,13.0,2.6,14.93
139,160,8,7,13.0,2.6,14.3
139,240,12,10,13.0,2.6,13.07
140,40,7,2,12.6,3.4,16.5
140,80,7,5,12.6,3.4,18.17
140,120,8,6,12.6,3.4,14.23
140,160,10,7,12.6,3.4,17.87
140,240,11,9,12.6,3.4,13.93
