mbar,dt,seed,slope,k,gamma,sV
20,5,121,-1.129,46,9.0,3.17
20,5,122,1.497,46,7.0,1.43
20,5,123,-0.217,30,11.0,2.3
20,5,124,-0.584,43,9.0,2.6
20,5,125,10.913,46,3.0,0.3
20,5,126,11.042,45,3.0,0.63
20,5,127,0.069,34,13.0,8.03
20,5,128,-0.047,16,28.07,10.7
20,5,129,5.731,46,6.0,1.5
20,5,130,5.252,46,6.0,1.57
20,5,131,6.528,46,5.0,0.8
20,5,132,-1.869,37,11.17,3.73
20,5,133,7.62,46,5.0,1.13
20,5,134,2.061,46,6.0,0.67
20,5,135,0.168,22,15.67,4.97
20,5,136,-0.181,18,19.3,7.93
20,5,137,-0.362,14,21.57,6.5
20,5,138,-0.268,19,24.2,7.3
20,5,139,-0.19,21,18.83,4.1
20,5,140,-0.079,23,15.57,4.23
20,6,121,-1.527,46,9.0,3.47
20,6,122,0.579,46,7.0,1.8
20,6,123,-0.959,29,11.67,3.5
20,6,124,-1.207,36,9.0,2.8
20,6,125,9.946,45,3.0,0.57
20,6,126,9.382,45,3.0,0.53
20,6,127,-0.833,35,13.0,7.37
20,6,128,-0.319,15,33.43,12.13
20,6,129,3.109,46,6.0,1.47
20,6,130,6.894,46,5.1,1.63
20,6,131,3.907,46,5.0,0.93
20,6,132,-1.542,36,9.33,3.77
20,6,133,6.326,46,5.0,1.37
20,6,134,0.254,46,6.0,0.83
20,6,135,-0.396,13,24.73,9.5
20,6,136,-0.385,16,15.9,6.23
20,6,137,-0.318,16,19.03,6.8
20,6,138,-2.437,35,15.0,5.1
20,6,139,-0.608,20,16.37,4.47
20,6,140,-0.589,21,16.57,5.17
20,7,121,-0.985,46,9.0,3.67
20,7,122,-0.56,46,7.0,1.53
20,7,123,-0.845,25,11.1,2.7
20,7,124,-1.535,35,9.0,3.07
20,7,125,9.227,46,3.0,0.43
20,7,126,9.673,46,3.0,0.5
20,7,127,-1.102,28,12.97,7.43
20,7,128,-0.352,20,26.47,10.97
20,7,129,2.058,46,6.0,1.43
20,7,130,5.617,46,5.0,1.53
20,7,131,3.434,46,5.0,1.07
20,7,132,-1.447,38,8.4,3.63
20,7,133,5.409,46,5.0,1.3
20,7,134,-0.14,46,6.0,0.77
20,7,135,-0.255,12,27.83,10.87
20,7,136,-0.127,15,21.07,7.4
20,7,137,-0.465,14,24.73,8.13
20,7,138,-0.264,19,28.03,6.47
20,7,139,-0.743,27,13.07,3.1
20,7,140,-0.449,20,17.73,6.73
26,5,121,2.009,46,9.0,1.9
26,5,122,6.014,46,7.0,1.27
26,5,123,-0.885,36,12.0,2.7
26,5,124,-0.379,46,9.0,1.43
26,5,125,16.899,45,3.0,0.33
26,5,126,16.316,46,3.0,0.2
26,5,127,-1.762,44,14.53,6.9
26,5,128,-0.452,25,27.07,11.07
26,5,129,9.401,46,6.0,1.13
26,5,130,12.615,46,5.0,1.1
26,5,131,10.98,46,5.0,0.43
26,5,132,-2.141,46,11.0,3.17
26,5,133,11.043,46,5.0,0.83
26,5,134,7.281,46,6.0,0.37
26,5,135,-0.157,19,23.3,5.8
26,5,136,-0.971,25,20.83,6.47
26,5,137,-0.64,21,28.7,11.53
26,5,138,-1.543,34,16.7,7.73
26,5,139,-0.741,26,17.1,4.43
26,5,140,-0.628,26,17.07,5.4
26,6,121,0.442,46,9.0,2.4
26,6,122,4.733,46,7.0,1.33
26,6,123,-1.522,34,11.7,2.7
26,6,124,-3.146,46,8.63,1.43
26,6,125,13.993,46,3.0,0.37
26,6,126,14.389,46,3.0,0.27
26,6,127,-3.517,41,13.0,6.37
26,6,128,-0.41,21,26.0,12.73
26,6,129,7.081,46,6.0,1.37
26,6,130,9.769,46,5.0,0.93
26,6,131,9.094,46,5.0,0.67
26,6,132,-0.335,45,9.07,2.87
26,6,133,9.439,46,5.0,0.8
26,6,134,4.576,46,6.0,0.33
26,6,135,-0.572,15,28.77,10.07
26,6,136,-0.912,20,20.97,6.47
26,6,137,-0.703,19,22.7,6.5
26,6,138,-5.826,37,16.63,4.23
26,6,139,-1.263,27,18.2,8.83
26,6,140,-1.268,25,19.3,7.7
26,7,121,1.019,46,9.0,2.27
26,7,122,2.459,46,7.0,0.9
26,7,123,-1.849,32,11.83,2.87
26,7,124,-4.419,45,8.83,1.43
26,7,125,13.547,46,3.0,0.13
26,7,126,13.744,45,3.0,0.43
26,7,127,-1.629,37,13.67,6.5
26,7,128,-0.868,21,29.07,11.53
26,7,129,5.735,46,6.0,0.97
26,7,130,10.961,46,5.0,1.33
26,7,131,9.226,46,5.0,0.73
26,7,132,-2.131,43,10.17,2.93
26,7,133,8.074,46,5.0,0.77
26,7,134,3.144,46,6.0,0.33
26,7,135,-0.246,16,23.93,9.23
26,7,136,-0.364,18,27.37,7.63
26,7,137,-0.399,16,24.43,8.67
26,7,138,-0.813,24,23.6,9.33
26,7,139,-1.67,37,11.07,3.43
26,7,140,-1.033,26,18.33,5.2
32,5,121,7.646,46,9.0,2.0
32,5,122,11.61,46,7.0,0.93
32,5,123,0.609,46,10.37,0.8
32,5,124,5.471,46,9.0,1.1
32,5,125,22.455,46,3.0,0.2
32,5,126,21.384,46,3.0,0.23
32,5,127,1.323,45,13.0,4.97
32,5,128,-0.968,26,25.87,12.2
32,5,129,14.079,46,6.0,0.83
32,5,130,17.984,46,5.0,0.87
32,5,131,16.523,46,5.0,0.5
32,5,132,0.505,46,10.67,1.5
32,5,133,16.481,46,5.0,0.67
32,5,134,12.863,46,6.0,0.43
32,5,135,-0.566,25,26.17,7.67
32,5,136,-0.442,23,26.4,8.03
32,5,137,-0.29,22,26.73,10.03
32,5,138,-8.244,38,21.4,5.47
32,5,139,-2.645,43,13.07,2.63
32,5,140,-1.835,35,16.8,4.9
32,6,121,5.235,46,9.0,1.97
32,6,122,5.966,46,7.0,0.73
32,6,123,-5.119,41,12.0,1.17
32,6,124,1.846,46,9.0,0.97
32,6,125,19.62,46,3.0,0.37
32,6,126,19.904,46,3.0,0.4
32,6,127,-1.883,46,13.4,4.33
32,6,128,-1.415,29,29.6,11.97
32,6,129,11.837,46,6.0,0.9
32,6,130,15.255,46,5.0,1.1
32,6,131,13.828,46,5.0,0.67
32,6,132,-1.513,46,11.07,1.63
32,6,133,14.905,46,5.0,1.0
32,6,134,9.692,46,6.0,0.27
32,6,135,-1.091,21,28.87,8.9
32,6,136,-1.101,26,19.93,7.43
32,6,137,-1.512,27,18.77,6.67
32,6,138,-8.942,40,18.17,4.7
32,6,139,-2.905,45,11.8,2.03
32,6,140,-1.594,34,15.17,5.47
32,7,121,3.734,46,9.0,2.0
32,7,122,7.018,46,7.0,0.7
32,7,123,-3.178,46,10.0,0.87
32,7,124,2.683,46,8.6,1.0
32,7,125,19.017,46,3.0,0.4
32,7,126,18.785,46,3.0,0.27
32,7,127,-5.249,43,14.67,5.8
32,7,128,-2.1,25,30.53,12.47
32,7,129,11.536,46,6.0,1.03
32,7,130,15.092,46,5.0,0.93
32,7,131,13.125,46,5.0,0.43
32,7,132,-3.953,46,11.23,1.7
32,7,133,13.173,46,5.0,0.6
32,7,134,9.066,46,6.0,0.33
32,7,135,-0.724,21,26.97,6.63
32,7,136,-1.87,31,19.4,5.63
32,7,137,-0.882,24,22.53,5.57
32,7,138,1.598,46,9.7,2.0
32,7,139,-4.807,42,13.7,3.13
32,7,140,-2.264,35,16.5,4.37
