p,m,seed,slope,k,gamma,sV
0.75,12,141,-0.759,50,10.4,6.77
0.75,12,142,0.313,29,16.4,13.93
0.75,12,143,1.83,50,5.0,1.83
0.75,12,144,-0.044,2,25.67,12.2
0.75,12,145,0.738,2,32.3,16.0
0.75,12,146,-0.217,7,18.1,8.77
0.75,12,147,-0.095,14,18.17,12.53
0.75,12,148,-0.149,12,18.8,8.07
0.75,12,149,0.021,26,11.23,4.97
0.75,12,150,3.758,51,5.0,2.2
0.75,12,151,0.033,12,15.13,7.43
0.75,12,152,0.032,11,15.67,6.0
0.75,12,153,-0.01,25,10.47,4.4
0.75,12,154,0.066,6,21.03,9.8
0.75,12,155,-0.681,50,6.0,2.07
0.75,12,156,0.038,27,10.3,4.6
0.75,12,157,-0.106,51,7.0,3.5
0.75,12,158,3.054,51,5.0,2.27
0.75,12,159,-0.404,1,37.77,14.07
0.75,12,160,-0.102,7,20.17,7.17
0.75,16,141,2.156,51,10.0,5.63
0.75,16,142,-0.147,22,25.6,17.73
0.75,16,143,2.749,50,5.0,0.97
0.75,16,144,0.18,10,24.0,12.43
0.75,16,145,-0.126,7,28.07,13.57
0.75,16,146,-0.624,5,27.4,8.23
0.75,16,147,0.034,17,20.87,11.23
0.75,16,148,0.254,26,17.73,10.1
0.75,16,149,0.014,28,13.57,4.1
0.75,16,150,6.733,51,5.0,2.03
0.75,16,151,-0.195,13,18.2,7.5
0.75,16,152,-0.018,18,14.57,4.27
0.75,16,153,0.022,43,9.0,2.7
0.75,16,154,-0.06,5,35.37,14.77
0.75,16,155,3.73,50,5.0,1.23
0.75,16,156,-0.075,26,14.67,5.73
0.75,16,157,0.233,51,7.0,2.5
0.75,16,158,4.515,51,5.0,1.47
0.75,16,159,-0.529,2,56.1,17.33
0.75,16,160,-0.02,13,26.83,11.47
0.75,20,141,2.457,51,12.0,6.67
0.75,20,142,2.253,51,12.0,6.83
0.75,20,143,2.507,50,6.0,1.13
0.75,20,144,0.033,15,25.73,11.0
0.75,20,145,-0.079,12,28.43,9.23
0.75,20,146,-0.609,11,26.0,8.6
0.75,20,147,0.063,30,19.17,12.53
0.75,20,148,0.121,33,19.13,11.57
0.75,20,149,0.104,42,12.1,3.33
0.75,20,150,8.323,51,5.0,1.33
0.75,20,151,-0.264,24,17.3,5.8
0.75,20,152,0.009,34,13.87,4.5
0.75,20,153,-0.751,47,10.73,3.63
0.75,20,154,-0.028,10,28.17,10.57
0.75,20,155,7.733,51,5.0,1.03
0.75,20,156,0.175,42,12.33,2.73
0.75,20,157,2.89,51,7.0,1.8
0.75,20,158,7.434,51,5.0,1.0
0.75,20,159,0.375,6,48.3,26.33
0.75,20,160,-0.273,18,28.33,11.37
0.75,26,141,4.929,51,11.13,4.67
0.75,26,142,3.547,51,13.87,7.17
0.75,26,143,-3.081,51,10.37,1.17
0.75,26,144,0.512,23,23.7,8.5
0.75,26,145,-0.747,14,36.63,15.1
0.75,26,146,-0.062,29,18.6,6.63
0.75,26,147,0.354,38,20.9,11.03
0.75,26,148,0.114,41,20.77,10.07
0.75,26,149,-4.332,51,12.0,2.97
0.75,26,150,14.467,51,5.0,1.53
0.75,26,151,-0.023,38,15.37,3.77
0.75,26,152,3.244,51,8.0,1.13
0.75,26,153,-4.784,48,12.97,3.03
0.75,26,154,0.15,22,27.13,11.03
0.75,26,155,12.541,51,5.0,0.9
0.75,26,156,-1.636,47,14.5,3.73
0.75,26,157,6.049,51,7.0,0.9
0.75,26,158,11.96,51,5.0,0.8
0.75,26,159,-0.297,12,41.47,22.73
0.75,26,160,0.041,32,21.93,7.33
0.75,32,141,7.289,51,11.4,3.7
0.75,32,142,7.941,51,10.0,2.77
0.75,32,143,16.27,51,5.0,0.4
0.75,32,144,0.015,31,25.3,8.33
0.75,32,145,-0.319,19,36.6,9.8
0.75,32,146,-0.713,19,35.1,10.17
0.75,32,147,-3.808,51,16.93,6.83
0.75,32,148,-2.232,51,16.4,6.4
0.75,32,149,1.794,51,10.0,0.7
0.75,32,150,19.573,51,5.0,0.87
0.75,32,151,0.135,35,20.93,5.3
0.75,32,152,0.136,44,16.43,3.7
0.75,32,153,4.745,51,9.0,0.5
0.75,32,154,0.124,23,32.23,11.97
0.75,32,155,16.921,50,5.0,0.53
0.75,32,156,2.479,51,10.1,1.0
0.75,32,157,12.705,51,7.0,0.87
0.75,32,158,17.734,51,5.0,0.73
0.75,32,159,0.107,12,57.17,22.07
0.75,32,160,-4.532,48,16.53,4.73
0.75,40,141,11.448,51,12.0,2.93
0.75,40,142,7.482,51,15.5,5.77
0.75,40,143,22.213,51,6.0,0.4
0.75,40,144,-0.224,46,21.23,4.63
0.75,40,145,0.39,37,29.9,10.27
0.75,40,146,0.325,32,29.1,9.23
0.75,40,147,-0.259,48,21.67,9.4
0.75,40,148,-7.716,50,20.8,6.13
0.75,40,149,8.51,51,10.0,0.47
0.75,40,150,26.244,51,5.0,0.73
0.75,40,151,-1.82,51,16.77,4.13
0.75,40,152,11.982,51,9.5,0.77
0.75,40,153,12.324,51,9.0,0.37
0.75,40,154,0.273,44,23.2,8.2
0.75,40,155,24.487,51,5.0,0.3
0.75,40,156,11.487,51,10.0,0.9
0.75,40,157,19.135,51,7.0,0.53
0.75,40,158,26.083,51,5.0,0.57
0.75,40,159,-0.087,23,42.63,19.83
0.75,40,160,-5.517,51,17.87,4.07
0.6,12,141,2.619,51,4.0,1.1
0.6,12,142,-0.0,29,11.27,4.6
0.6,12,143,-0.013,39,7.0,2.33
0.6,12,144,-0.364,51,4.97,1.33
0.6,12,145,2.078,51,5.0,2.07
0.6,12,146,0.029,31,9.0,4.2
0.6,12,147,0.237,5,22.0,13.53
0.6,12,148,0.046,23,11.6,5.13
0.6,12,149,0.027,51,6.0,2.17
0.6,12,150,0.02,16,12.67,5.9
0.6,12,151,0.048,29,11.73,4.07
0.6,12,152,0.119,37,9.0,3.63
0.6,12,153,0.807,51,4.27,0.9
0.6,12,154,0.155,51,5.0,1.4
0.6,12,155,0.695,51,5.0,1.63
0.6,12,156,0.115,43,7.2,3.37
0.6,12,157,-0.249,8,19.93,13.43
